date,k18,k21,k22,traditional
2008-06-10,1920,2155,2255,1600
2008-06-11,1920,2155,2255,1600
2008-06-12,1920,2155,2255,1600
2008-06-13,1920,2155,2255,1600
2008-06-14,1920,2155,2255,1600
2008-06-15,1920,2155,2255,1600
2008-06-16,1920,2155,2255,1600
2008-06-17,1920,2155,2255,1600
2008-06-18,1920,2155,2255,1600
2008-06-19,1920,2155,2255,1600
2008-06-20,1920,2155,2255,1600
2008-06-21,1920,2155,2255,1600
2008-06-22,1920,2155,2255,1600
2008-06-23,1920,2155,2255,1600
2008-06-24,1920,2155,2255,1600
2008-06-25,1920,2155,2255,1600
2008-06-26,1920,2155,2255,1600
2008-06-27,1920,2155,2255,1600
2008-06-28,1920,2155,2255,1600
2008-06-29,1920,2155,2255,1600
2008-06-30,1920,2155,2255,1600
2008-07-01,1920,2155,2255,1600
2008-07-02,1920,2155,2255,1600
2008-07-03,1920,2155,2255,1600
2008-07-04,1920,2155,2255,1600
2008-07-05,1920,2155,2255,1600
2008-07-06,1920,2155,2255,1600
2008-07-07,1920,2155,2255,1600
2008-07-08,1920,2155,2255,1600
2008-07-09,1920,2155,2255,1600
2008-07-10,1920,2155,2255,1600
2008-07-11,1920,2155,2255,1600
2008-07-12,1920,2155,2255,1600
2008-07-13,1920,2155,2255,1600
2008-07-14,1920,2155,2255,1600
2008-07-15,1920,2155,2255,1600
2008-07-16,2005,2250,2355,1600
2008-07-17,2005,2250,2355,1600
2008-07-18,2005,2250,2355,1600
2008-07-19,2005,2250,2355,1600
2008-07-20,2005,2250,2355,1600
2008-07-21,2005,2250,2355,1600
2008-07-22,2005,2250,2355,1600
2008-07-23,2005,2250,2355,1600
2008-07-24,2005,2250,2355,1600
2008-07-25,2005,2250,2355,1600
2008-07-26,2005,2250,2355,1600
2008-07-27,2005,2250,2355,1600
2008-07-28,2005,2250,2355,1600
2008-07-29,2005,2250,2355,1600
2008-07-30,2005,2250,2355,1600
2008-07-31,2005,2250,2355,1600
2008-08-01,2005,2250,2355,1600
2008-08-02,2005,2250,2355,1600
2008-08-03,2005,2250,2355,1600
2008-08-04,2005,2250,2355,1600
2008-08-05,2005,2250,2355,1600
2008-08-06,2005,2250,2355,1600
2008-08-07,2005,2250,2355,1600
2008-08-08,2005,2250,2355,1600
2008-08-09,2005,2250,2355,1600
2008-08-10,2005,2250,2355,1600
2008-08-11,2005,2250,2355,1600
2008-08-12,2005,2250,2355,1600
2008-08-13,2005,2250,2355,1600
2008-08-14,2005,2250,2355,1600
2008-08-15,2005,2250,2355,1600
2008-08-16,2005,2250,2355,1600
2008-08-17,2005,2250,2355,1600
2008-08-18,1954,2198,2303,1600
2008-08-19,1954,2198,2303,1600
2008-08-20,1954,2198,2303,1600
2008-08-21,1920,2155,2255,1600
2008-08-22,1920,2155,2255,1600
2008-08-23,1920,2155,2255,1600
2008-08-24,1920,2155,2255,1600
2008-08-25,1920,2155,2255,1600
2008-08-26,1920,2155,2255,1600
2008-08-27,1920,2155,2255,1600
2008-08-28,1920,2155,2255,1600
2008-08-29,1920,2155,2255,1600
2008-08-30,1920,2155,2255,1600
2008-08-31,1920,2155,2255,1600
2008-09-01,1920,2155,2255,1600
2008-09-02,1920,2155,2255,1600
2008-09-03,1920,2155,2255,1600
2008-09-04,1920,2155,2255,1600
2008-09-05,1840,2060,2160,1550
2008-09-06,1840,2060,2160,1550
2008-09-07,1840,2060,2160,1550
2008-09-08,1840,2060,2160,1550
2008-09-09,1840,2060,2160,1550
2008-09-10,1840,2060,2160,1550
2008-09-11,1840,2060,2160,1550
2008-09-12,1840,2060,2160,1550
2008-09-13,1840,2060,2160,1550
2008-09-14,1840,2060,2160,1550
2008-09-15,1840,2060,2160,1550
2008-09-16,1840,2060,2160,1550
2008-09-17,1840,2060,2160,1550
2008-09-18,1840,2060,2160,1550
2008-09-19,1840,2060,2160,1550
2008-09-20,1840,2060,2160,1550
2008-09-21,1840,2060,2160,1550
2008-09-22,1840,2060,2160,1550
2008-09-23,1840,2060,2160,1550
2008-09-24,1840,2060,2160,1550
2008-09-25,1915,2145,2245,1550
2008-09-26,1915,2145,2245,1550
2008-09-27,1915,2145,2245,1550
2008-09-28,1915,2145,2245,1550
2008-09-29,1915,2145,2245,1550
2008-09-30,1915,2145,2245,1550
2008-10-01,1915,2145,2245,1550
2008-10-02,1915,2145,2245,1550
2008-10-03,1915,2145,2245,1550
2008-10-04,1915,2145,2245,1550
2008-10-05,1915,2145,2245,1550
2008-10-06,1915,2145,2245,1550
2008-10-07,1915,2145,2245,1550
2008-10-08,1915,2145,2245,1550
2008-10-09,1915,2145,2245,1550
2008-10-10,1915,2145,2245,1550
2008-10-11,1915,2145,2245,1550
2008-10-12,1915,2145,2245,1550
2008-10-13,1915,2145,2245,1550
2008-10-14,1915,2145,2245,1550
2008-10-15,1915,2145,2245,1550
2008-10-16,1915,2145,2245,1550
2008-10-17,1915,2145,2245,1550
2008-10-18,1915,2145,2245,1550
2008-10-19,1915,2145,2245,1550
2008-10-20,1915,2145,2245,1550
2008-10-21,1915,2145,2245,1550
2008-10-22,1915,2145,2245,1550
2008-10-23,1915,2145,2245,1550
2008-10-24,1915,2145,2245,1550
2008-10-25,1825,2060,2160,1500
2008-10-26,1825,2060,2160,1500
2008-10-27,1825,2060,2160,1500
2008-10-28,1825,2060,2160,1500
2008-10-29,1825,2060,2160,1500
2008-10-30,1825,2060,2160,1500
2008-10-31,1825,2060,2160,1500
2008-11-01,1825,2060,2160,1500
2008-11-02,1825,2060,2160,1500
2008-11-03,1825,2060,2160,1500
2008-11-04,1740,1970,2060,1415
2008-11-05,1740,1970,2060,1415
2008-11-06,1740,1970,2060,1415
2008-11-07,1740,1970,2060,1415
2008-11-08,1740,1970,2060,1415
2008-11-09,1740,1970,2060,1415
2008-11-10,1740,1970,2060,1415
2008-11-11,1740,1970,2060,1415
2008-11-12,1740,1970,2060,1415
2008-11-13,1740,1970,2060,1415
2008-11-14,1740,1970,2060,1415
2008-11-15,1740,1970,2060,1415
2008-11-16,1740,1970,2060,1415
2008-11-17,1740,1970,2060,1415
2008-11-18,1740,1970,2060,1415
2008-11-19,1740,1970,2060,1415
2008-11-20,1740,1970,2060,1415
2008-11-21,1740,1970,2060,1415
2008-11-22,1740,1970,2060,1415
2008-11-23,1740,1970,2060,1415
2008-11-24,1740,1970,2060,1415
2008-11-25,1740,1970,2060,1415
2008-11-26,1740,1970,2060,1415
2008-11-27,1740,1970,2060,1415
2008-11-28,1740,1970,2060,1415
2008-11-29,1740,1970,2060,1415
2008-11-30,1740,1970,2060,1415
2008-12-01,1740,1970,2060,1415
2008-12-02,1740,1970,2060,1415
2008-12-03,1740,1970,2060,1415
2008-12-04,1740,1970,2060,1415
2008-12-05,1740,1970,2060,1415
2008-12-06,1740,1970,2060,1415
2008-12-07,1740,1970,2060,1415
2008-12-08,1740,1970,2060,1415
2008-12-09,1740,1970,2060,1415
2008-12-10,1740,1970,2060,1415
2008-12-11,1740,1970,2060,1415
2008-12-12,1740,1970,2060,1415
2008-12-13,1740,1970,2060,1415
2008-12-14,1740,1970,2060,1415
2008-12-15,1740,1970,2060,1415
2008-12-16,1740,1970,2060,1415
2008-12-17,1740,1970,2060,1415
2008-12-18,1740,1970,2060,1415
2008-12-19,1740,1970,2060,1415
2008-12-20,1740,1970,2060,1415
2008-12-21,1825,2060,2160,1450
2008-12-22,1825,2060,2160,1450
2008-12-23,1825,2060,2160,1450
2008-12-24,1825,2060,2160,1450
2008-12-25,1825,2060,2160,1450
2008-12-26,1825,2060,2160,1450
2008-12-27,1825,2060,2160,1450
2008-12-28,1825,2060,2160,1450
2008-12-29,1825,2060,2160,1450
2008-12-30,1825,2060,2160,1450
2008-12-31,1825,2060,2160,1450
2009-01-01,1825,2060,2160,1450
2009-01-02,1825,2060,2160,1450
2009-01-03,1825,2060,2160,1450
2009-01-04,1825,2060,2160,1450
2009-01-05,1825,2060,2160,1450
2009-01-06,1825,2060,2160,1450
2009-01-07,1825,2060,2160,1450
2009-01-08,1825,2060,2160,1450
2009-01-09,1825,2060,2160,1450
2009-01-10,1825,2060,2160,1450
2009-01-11,1825,2060,2160,1450
2009-01-12,1825,2060,2160,1450
2009-01-13,1825,2060,2160,1450
2009-01-14,1825,2060,2160,1450
2009-01-15,1825,2060,2160,1450
2009-01-16,1825,2060,2160,1450
2009-01-17,1825,2060,2160,1450
2009-01-18,1825,2060,2160,1450
2009-01-19,1825,2060,2160,1450
2009-01-20,1825,2060,2160,1450
2009-01-21,1825,2060,2160,1450
2009-01-22,1825,2060,2160,1450
2009-01-23,1825,2060,2160,1450
2009-01-24,1825,2060,2160,1450
2009-01-25,1825,2060,2160,1450
2009-01-26,1825,2060,2160,1450
2009-01-27,1825,2060,2160,1450
2009-01-28,1825,2060,2160,1450
2009-01-29,1825,2060,2160,1450
2009-01-30,1825,2060,2160,1450
2009-01-31,1825,2060,2160,1450
2009-02-01,1825,2060,2160,1450
2009-02-02,1825,2060,2160,1450
2009-02-03,1825,2060,2160,1450
2009-02-04,1825,2060,2160,1450
2009-02-05,1825,2060,2160,1450
2009-02-06,1825,2060,2160,1450
2009-02-07,1825,2060,2160,1450
2009-02-08,1825,2060,2160,1450
2009-02-09,1825,2060,2160,1450
2009-02-10,1825,2060,2160,1450
2009-02-11,1910,2160,2260,1500
2009-02-12,1980,2240,2345,1550
2009-02-13,1980,2240,2345,1550
2009-02-14,1980,2240,2345,1550
2009-02-15,1980,2240,2345,1550
2009-02-16,1980,2240,2345,1550
2009-02-17,1980,2240,2345,1550
2009-02-18,1980,2240,2345,1550
2009-02-19,1980,2240,2345,1550
2009-02-20,1980,2240,2345,1550
2009-02-21,1980,2240,2345,1550
2009-02-22,1980,2240,2345,1550
2009-02-23,1980,2240,2345,1550
2009-02-24,1980,2240,2345,1550
2009-02-25,1980,2240,2345,1550
2009-02-26,1980,2240,2345,1550
2009-02-27,1980,2240,2345,1550
2009-02-28,1980,2240,2345,1550
2009-03-01,1980,2240,2345,1550
2009-03-02,1980,2240,2345,1550
2009-03-03,1980,2240,2345,1550
2009-03-04,1980,2240,2345,1550
2009-03-05,1980,2240,2345,1550
2009-03-06,1980,2240,2345,1550
2009-03-07,1980,2240,2345,1550
2009-03-08,1980,2240,2345,1550
